date,constraint_id,shadow_price,flow_mw,limit_mw,cause
2025-01-01,DCKT_NORTHSOUTH_345,205.45268670641056,1552.6929724036086,2747.016600322677,Planned Maintenance
2025-01-01,CORYCELL_138KV,40.88737008565252,1562.1645471099916,2255.1570686688533,Thermal Limit
2025-01-01,LAMAR_345,106.76125855335992,1733.6459888806585,2468.4908480014906,Outage
2025-01-02,DCKT_NORTHSOUTH_345,125.50881636012282,847.372533403017,2657.2222573567765,Outage
2025-01-02,CORYCELL_138KV,187.51465598292415,1713.6875289936115,2661.1089171077656,Planned Maintenance
2025-01-02,LAMAR_345,218.71227704743387,1025.8011684624676,2294.711483518625,Outage
2025-01-03,DCKT_NORTHSOUTH_345,160.89408976485396,1197.8159402932113,2790.126654207649,Planned Maintenance
2025-01-03,CORYCELL_138KV,146.5759911136788,1154.2492470871214,2156.4223954836393,Thermal Limit
2025-01-03,LAMAR_345,203.66406852164837,921.5038800910213,2124.347922945902,Planned Maintenance
2025-01-04,DCKT_NORTHSOUTH_345,186.66308715477317,999.7664091128806,2689.070621330614,Thermal Limit
2025-01-04,CORYCELL_138KV,192.33405373163782,1899.799276427147,2673.313237402766,Outage
2025-01-04,LAMAR_345,15.554673557425327,1490.3130953186296,2598.9722124893474,Thermal Limit
2025-01-05,DCKT_NORTHSOUTH_345,120.45857876498594,1345.0675254886446,2695.541816880449,Planned Maintenance
2025-01-05,CORYCELL_138KV,175.45935631399092,1671.4639999033095,2196.2914793591476,Wind Curtailment
2025-01-05,LAMAR_345,52.19871010751841,1735.800282067969,2166.9812814508314,Outage
2025-01-06,DCKT_NORTHSOUTH_345,169.04771977862643,926.8022819913787,2778.5818431776506,Wind Curtailment
2025-01-06,CORYCELL_138KV,16.877831088737818,1652.0412277837204,2536.9665949547816,Planned Maintenance
2025-01-06,LAMAR_345,132.9091716805725,1872.2560192614403,2743.892723035193,Wind Curtailment
2025-01-07,DCKT_NORTHSOUTH_345,189.52226459863496,1473.251494034569,2734.510256948562,Outage
2025-01-07,CORYCELL_138KV,103.426413436196,1506.2804942111966,2557.19788755865,Planned Maintenance
2025-01-07,LAMAR_345,166.58776818177404,1800.9683836176541,2539.9321590507598,Planned Maintenance
2025-01-08,DCKT_NORTHSOUTH_345,123.73172733172822,1581.404943300643,2351.962062781435,Thermal Limit
2025-01-08,CORYCELL_138KV,147.69465057615827,1944.557638412086,2204.3770391663948,Planned Maintenance
2025-01-08,LAMAR_345,120.91692275448227,1125.0976814265684,2580.623466873113,Planned Maintenance
2025-01-09,DCKT_NORTHSOUTH_345,112.54653236950952,1772.3026646244907,2672.5023989624774,Wind Curtailment
2025-01-09,CORYCELL_138KV,187.53344882070843,1504.2706040087614,2481.2366250262526,Thermal Limit
2025-01-09,LAMAR_345,34.01235304576129,1220.5958716738662,2135.608398080743,Thermal Limit
2025-01-10,DCKT_NORTHSOUTH_345,134.85351349696137,1815.5186211795326,2201.4423939856383,Wind Curtailment
2025-01-10,CORYCELL_138KV,38.53614999854939,1945.6831945264983,2171.372236890646,Planned Maintenance
2025-01-10,LAMAR_345,130.3756218872458,866.526774149289,2560.4821540403022,Outage
2025-01-11,DCKT_NORTHSOUTH_345,212.5371887497531,1864.3511701662374,2495.3523609958074,Thermal Limit
2025-01-11,CORYCELL_138KV,26.705067657316235,1033.5776530215328,2426.5502057605763,Thermal Limit
2025-01-11,LAMAR_345,101.51139465526057,1035.966225192474,2480.385989130675,Outage
2025-01-12,DCKT_NORTHSOUTH_345,179.40409605659644,848.0195057282465,2293.1683896479803,Outage
2025-01-12,CORYCELL_138KV,90.78677151591333,1860.5158940099077,2663.3090200651623,Wind Curtailment
2025-01-12,LAMAR_345,121.66452733012022,1673.307744790627,2329.981675960754,Thermal Limit
2025-01-13,DCKT_NORTHSOUTH_345,38.51510041069689,861.4665652868541,2551.010835720359,Planned Maintenance
2025-01-13,CORYCELL_138KV,60.73002142407532,1528.5654908123756,2373.611972642384,Wind Curtailment
2025-01-13,LAMAR_345,155.71716711740902,938.1546053311915,2150.516567481097,Outage
2025-01-14,DCKT_NORTHSOUTH_345,184.86044857299163,1664.1160046700402,2279.865997094837,Planned Maintenance
2025-01-14,CORYCELL_138KV,147.52355168150666,1270.4119193975953,2775.568829176828,Outage
2025-01-14,LAMAR_345,186.5687802931053,859.543358674074,2233.3759843090434,Outage
2025-01-15,DCKT_NORTHSOUTH_345,139.15978077071054,1753.8185664060438,2173.450085492775,Thermal Limit
2025-01-15,CORYCELL_138KV,181.09268283175345,1458.275265966397,2303.8065345588884,Wind Curtailment
2025-01-15,LAMAR_345,216.49179419207397,1688.7984054321175,2714.548135575259,Planned Maintenance
2025-01-16,DCKT_NORTHSOUTH_345,31.979070498277952,1575.7104787269727,2314.218497028451,Thermal Limit
2025-01-16,CORYCELL_138KV,113.32817417659052,1299.5556009108573,2392.1660977404495,Planned Maintenance
2025-01-16,LAMAR_345,53.92799660230811,1603.46642846532,2317.0538449116575,Planned Maintenance
2025-01-17,DCKT_NORTHSOUTH_345,110.37185226099713,816.9664800505932,2792.281493893276,Wind Curtailment
