interval_start,interval_end,node_id,node_name,zone,lmp,energy_component,congestion_component,loss_component
2024-05-01T00:00:00,2024-05-01T01:00:00,HB_HOUSTON,Houston Hub,SOUTH,30.8279,31.1077,-0.5187,0.2389
2024-05-01T00:00:00,2024-05-01T01:00:00,HB_NORTH,North Hub,NORTH,29.1694,23.996,4.8302,0.3432
2024-05-01T00:00:00,2024-05-01T01:00:00,HB_WEST,West Hub,WEST,19.6392,20.2601,-0.802,0.1811
2024-05-01T00:00:00,2024-05-01T01:00:00,HB_SOUTH,South Hub,SOUTH,32.502,31.783,0.3922,0.3268
2024-05-01T00:00:00,2024-05-01T01:00:00,LZ_HOUSTON,Houston Load Zone,SOUTH,32.2337,31.5315,0.3315,0.3707
2024-05-01T00:00:00,2024-05-01T01:00:00,LZ_NORTH,North Load Zone,NORTH,21.5584,21.9135,-0.5899,0.2348
2024-05-01T00:00:00,2024-05-01T01:00:00,LZ_WEST,West Load Zone,WEST,27.3139,27.2762,-0.319,0.3567
2024-05-01T00:00:00,2024-05-01T01:00:00,LZ_SOUTH,South Load Zone,SOUTH,24.645,27.0756,-2.5921,0.1615
2024-05-01T00:00:00,2024-05-01T01:00:00,BUS_SABINE,Sabine Bus,EAST,31.9881,32.5191,-0.7219,0.1909
2024-05-01T00:00:00,2024-05-01T01:00:00,BUS_BRAZOS,Brazos Valley Bus,SOUTH,33.2392,36.1444,-3.3397,0.4345
2024-05-01T01:00:00,2024-05-01T02:00:00,HB_HOUSTON,Houston Hub,SOUTH,33.1038,36.305,-3.6888,0.4877
2024-05-01T01:00:00,2024-05-01T02:00:00,HB_NORTH,North Hub,NORTH,22.0369,19.1159,2.628,0.293
2024-05-01T01:00:00,2024-05-01T02:00:00,HB_WEST,West Hub,WEST,7.6623,11.6241,-4.0444,0.0825
2024-05-01T01:00:00,2024-05-01T02:00:00,HB_SOUTH,South Hub,SOUTH,28.6734,29.3464,-0.8817,0.2087
2024-05-01T01:00:00,2024-05-01T02:00:00,LZ_HOUSTON,Houston Load Zone,SOUTH,28.5642,27.1687,1.1862,0.2093
2024-05-01T01:00:00,2024-05-01T02:00:00,LZ_NORTH,North Load Zone,NORTH,34.563,32.735,1.4355,0.3925
2024-05-01T01:00:00,2024-05-01T02:00:00,LZ_WEST,West Load Zone,WEST,24.2822,21.944,2.1659,0.1723
2024-05-01T01:00:00,2024-05-01T02:00:00,LZ_SOUTH,South Load Zone,SOUTH,27.3624,20.0411,7.0073,0.3141
2024-05-01T01:00:00,2024-05-01T02:00:00,BUS_SABINE,Sabine Bus,EAST,30.59,31.551,-1.1639,0.2029
2024-05-01T01:00:00,2024-05-01T02:00:00,BUS_BRAZOS,Brazos Valley Bus,SOUTH,11.8112,5.4531,6.2235,0.1346
2024-05-01T02:00:00,2024-05-01T03:00:00,HB_HOUSTON,Houston Hub,SOUTH,26.1465,27.3917,-1.5962,0.3511
2024-05-01T02:00:00,2024-05-01T03:00:00,HB_NORTH,North Hub,NORTH,33.4687,35.4256,-2.1351,0.1781
2024-05-01T02:00:00,2024-05-01T03:00:00,HB_WEST,West Hub,WEST,20.0055,17.6923,2.1709,0.1422
2024-05-01T02:00:00,2024-05-01T03:00:00,HB_SOUTH,South Hub,SOUTH,47.8468,49.6105,-2.1535,0.3898
2024-05-01T02:00:00,2024-05-01T03:00:00,LZ_HOUSTON,Houston Load Zone,SOUTH,28.0358,30.134,-2.4947,0.3966
2024-05-01T02:00:00,2024-05-01T03:00:00,LZ_NORTH,North Load Zone,NORTH,26.4628,25.6635,0.6017,0.1976
2024-05-01T02:00:00,2024-05-01T03:00:00,LZ_WEST,West Load Zone,WEST,26.7425,27.3334,-0.881,0.29
2024-05-01T02:00:00,2024-05-01T03:00:00,LZ_SOUTH,South Load Zone,SOUTH,39.0001,40.5335,-1.814,0.2805
2024-05-01T02:00:00,2024-05-01T03:00:00,BUS_SABINE,Sabine Bus,EAST,40.0782,39.9143,-0.0554,0.2193
2024-05-01T02:00:00,2024-05-01T03:00:00,BUS_BRAZOS,Brazos Valley Bus,SOUTH,41.2081,37.9956,2.6801,0.5324
2024-05-01T03:00:00,2024-05-01T04:00:00,HB_HOUSTON,Houston Hub,SOUTH,38.7636,37.9112,0.5107,0.3417
2024-05-01T03:00:00,2024-05-01T04:00:00,HB_NORTH,North Hub,NORTH,46.1379,45.5489,-0.0897,0.6787
2024-05-01T03:00:00,2024-05-01T04:00:00,HB_WEST,West Hub,WEST,27.1019,27.1209,-0.3499,0.3308
2024-05-01T03:00:00,2024-05-01T04:00:00,HB_SOUTH,South Hub,SOUTH,32.1922,35.3307,-3.3853,0.2469
2024-05-01T03:00:00,2024-05-01T04:00:00,LZ_HOUSTON,Houston Load Zone,SOUTH,33.8603,34.6736,-1.1299,0.3165
2024-05-01T03:00:00,2024-05-01T04:00:00,LZ_NORTH,North Load Zone,NORTH,17.3153,14.9442,2.1329,0.2382
2024-05-01T03:00:00,2024-05-01T04:00:00,LZ_WEST,West Load Zone,WEST,35.5302,31.7663,3.5227,0.2411
2024-05-01T03:00:00,2024-05-01T04:00:00,LZ_SOUTH,South Load Zone,SOUTH,50.1213,52.8864,-3.1653,0.4002
2024-05-01T03:00:00,2024-05-01T04:00:00,BUS_SABINE,Sabine Bus,EAST,27.9598,30.7572,-3.1503,0.353
2024-05-01T03:00:00,2024-05-01T04:00:00,BUS_BRAZOS,Brazos Valley Bus,SOUTH,22.8526,23.893,-1.2759,0.2355
2024-05-01T04:00:00,2024-05-01T05:00:00,HB_HOUSTON,Houston Hub,SOUTH,52.6312,52.3482,0.0095,0.2734
2024-05-01T04:00:00,2024-05-01T05:00:00,HB_NORTH,North Hub,NORTH,55.3786,57.2964,-2.6553,0.7375
2024-05-01T04:00:00,2024-05-01T05:00:00,HB_WEST,West Hub,WEST,29.5725,28.1955,0.9694,0.4075
2024-05-01T04:00:00,2024-05-01T05:00:00,HB_SOUTH,South Hub,SOUTH,43.7488,43.7328,-0.4154,0.4314
2024-05-01T04:00:00,2024-05-01T05:00:00,LZ_HOUSTON,Houston Load Zone,SOUTH,52.818,50.0122,2.1372,0.6686
